document_no,sentence_no,content
100,0,"Application of SOUTHERN CALIFORNIA GAS ) COMPANY for authority to update its gas revenue ) requirement and base rates ) effective January 1, 2019 (U 904-G) ) Application No. 17-10-007/008 Exhibit No.: (SCG-15-WP-S-R) REDACTED VERSION REVISED SUPPLEMENTAL WORKPAPERS TO PREPARED DIRECT TESTIMONY OF RICHARD D."
100,1,PHILLIPS ON BEHALF OF SOUTHERN CALIFORNIA GAS COMPANY BEFORE THE PUBLIC UTILITIES COMMISSION OF THE STATE OF CALIFORNIA JULY 2018 [image: image0.jpg] SoCalGas Sempra Energy utility 2019 GRC SUPPLEMENTAL WORKPAPERS RICK PHILLIPS- EXHIBIT SCG-15-WP WORKPAPERS TABLE OF CONTENTS WORKPAPER PAGE NO.
100,2,"WORKPAPER CHAPTER TITLEWP-Intro-1-3 Introduction to Workpapers WP-SCS-1-16 Standard Construction Summary for Replacement, Pressure Test, and Valve Enhancement Plan Project WP-G-1-4 Glossary WP-I-A1-A150 Pressure Test Project Workpapers WP-II-A1-A7 Miscellaneous PSEP Costs Workpapers WP-III-A1-A118 Replacement Project Workpapers WP-IV-A1-A29 Valve Enhancement Plan Workpaper WP-V-A1-A79 Fourth Year Project Workpapers Southern California Gas Company 2019 GRC APP1WP-Intro-1-3 Introduction to Workpapers Southern California Gas Company 2019 GRC APP2SoCal Gas 2019 GRC Application Workpapers Supporting the Testimony Rick Phillips SCG-15 I."
100,3,INTRODUCTION The project workpapers that follow provide detailed information regarding the forecasted cost for each of the ten Phase 1B and twelve Phase 2A projects included in this Application.
100,4,"As stated in SCG-15 the methodology used to develop these forecasted costs include components that follow the guiding principles of Stages One (Project Initiation) through Three (Begin Detailed Planning) for the Seven Stage Review process, which was established to promote efficient project execution."
100,5,Each workpaper is organized as follows to capture the key elements of the estimate: Cost and Project Summary – provides an overview of the project scope and costs.
100,6,"Alternatives Considered – for Phase 1B replacement projects, describes the options to replacement (de-rating, abandonment)."
100,7,Forecast Methodology – describes the basis of the cost estimated and the categories of costs considered in developing all project estimates.
100,8,Schedule – describes the basis for the schedule used across all project estimates.
100,9,"Project Satellite and Topographic Map – two maps are provided (when applicable): a conventional map to provide the reader with general location of the project, and a satellite map that shows the type of terrain (urban, rural, river crossings, highways, etc.) the project traverses."
100,10,"Mileage Table – the mileage for the project broken down by phase and accelerated and incidental miles, as defined in the testimony of Ronn Gonzalez in Chapter II."
100,11,Material Costs - estimate based on the type and quantities of material required for each project.
100,12,"Construction Costs – based upon input from construction contractors, assumptions made in the development of the construction component of the project, which generally account for approximately 50% of total project cost."
100,13,"General assumptions include a geographically based construction cost estimate, estimated construction schedule duration, working days and hours taking into consideration any working hour restrictions, type of pipe installation method for replacement projects, and other pertinent construction assumptions."
100,14,"Additional detailed construction information, including site mobilization/facilities, site management, material handling, traffic control, substructure location, post-construction pressure test, final pipeline tie-in, abandonment of existing pipeline, paving, site restoration, site demobilization, and construction field overhead assumptions."
100,15,"Environmental Costs - based upon evaluation of the project by PSEP Environmental Services, assumptions and associated costs regarding anticipated permitting, surveys, and monitoring, hazardous/non-hazardous waste containment/disposal, Permit fees, and mitigation fees."
100,16,Identified environmental issues unique to the project are also listed.
100,17,"Land/Right of Way Costs – assumptions include need for new easements, construction yards for the storage of material and construction trailers and associated permits and legal services."
100,18,Southern California Gas Company 2019 GRC APP3Company Labor Costs – anticipated activity and level of effort for SoCalGas management and represented personnel in support of the project.
100,19,Other Costs – estimated costs of contracted Project Management and Engineering services.
100,20,Included in each of the above key elements are the assumptions used to form the basis of estimate.
100,21,There is contains a Glossary that will assist in defining specific terminology used throughout the workpapers.
100,22,"The Summary Table of Projects provides a summary of relevant data for each project included in this Application (Line Number, Phase, project type (replacement, pressure test, abandonment, de-rate), line type (Transmission, Distribution), costs (loaded O&M costs, loaded capital costs and total loaded costs), mileage, and diameter."
100,23,"PSEP Seven Stage Review Process1 As explained in testimony, the Seven Stage Review Process sequences and schedules PSEP project workflow deliverables.2 The Seven Stage Review Process consists of seven stages with specific objectives for each stage and an evaluation gate at the end of each stage to verify that objectives have been met before proceeding to the next stage.3 Below is a description of the common activities that occur within each stage: Stage 1 (Project Initiation) is where the Phase 1 WOA is initiated."
100,24,The Phase 1 WOA is used to track costs for the early stage investigation and validation of Category 4 Criteria mileage and to fund enough preliminary project scoping and design to develop an initial cost estimate (Phase 2 WOA).
100,25,"The Project Initiation Stage is where mileage originally included for remediation may be decreased due to scope validation efforts, reduction in Maximum Allowable Operating Pressure (MAOP), or abandonment of lines that are no longer required from a gas operating system perspective."
100,26,Stage 2 (Test or Replace Analysis) is where SoCalGas and SDG&E analyze data for selection of testing or replacement and focus on achieving PSEP’s four objectives.
100,27,Project execution options are presented and considered prior to proceeding to the next stage.
100,28,1 Stages 1-3 have been completed for the projects included in this application 2 The Seven Stage Review Process was implemented by the PSEP Organization beginning in the Second Quarter of 2013.
100,29,3 Certain stages are condensed or combined for valve and small pipeline projects.
100,30,"Southern California Gas Company 2019 GRC APP4Stage 3 (Begin Detailed Planning) is where a project execution plan is finalized, baseline schedules are developed, funding estimates are developed, and project funding is obtained."
100,31,The preliminary design estimates or Total Installed Costs (TIC) are estimated in direct dollars.
100,32,"Based on the TIC direct estimate, a Phase 2 WOA which adds in the indirects is populated."
100,33,At the end of Stage 3 a preliminary design of the project is complete.
100,34,"Stage 4 (Detailed Design/Procurement) is where design and construction documents are completed, necessary permits and authorizations are attained, a construction contractor is selected, and pipeline materials are purchased, received, and prepared for turnover to contractors."
100,35,"Stage 5 (Construction) is where construction contractors are mobilized and monitored to (1) document progress and compliance; (2) conduct testing; and (3) maintain project scope quality, budget, and schedule."
100,36,Stage 6 (Place into Service) is where commissioning and operating activities are performed to achieve completion certification for the project.
100,37,"Stage 7 (Closeout) is where regulatory, contractual, archival activities are performed to close the project in an orderly manner and issue acceptance certificates."
100,38,"Southern California Gas Company 2019 GRC APP5WP-SCS-1-16 Standard Construction Summary for Replacement, Hydrotest, and Valve Enhancement Plan Projects Southern California Gas Company 2019 GRC APP6Standard Construction Summary for Replacement, Hydrotest The following information provides an overview of the typical construction activities that occur during SoCalGas and PSEP pipeline replacement and hydrotest projects."
100,39,"It should be noted that there are some projects that may differ from the general activities described below, as project activities depend on the unique characteristics of each particular project."
100,40,This first section describes the typical activities of a replacement project.
100,41,The following section will discuss the differences seen in a hydrotest project as compared to a replacement project.
100,42,Replacement Project 1.
100,43,Permits – Typically Stages 3 or 4 One of the initial construction activities that affect project decisions is the securing of permits.
100,44,"PSEP projects are in a variety of locations: congested urban areas, highways/freeways, railroads/light rails, bridges, environmentally and culturally sensitive areas, coastal zone, commercial centers, private land, hillsides, airport zones, etc., and, as such, there are usually many permits required for a project."
100,45,"Each area will present unique requirements that are necessary for successful and safe construction which also must follow the specific requirements, such as requiring night work (see Figure 4), as stated in each of the specific permits pulled for a project."
100,46,Permits may take many months to secure and the requirements of the permit may not be known until construction is about to begin.
100,47,"The permits may be local, state, or federal permits and clearances and they address all natural resources — land, air, water, vegetation, and wildlife — as well as the interests of the general public such as noise."
100,48,"Some of the most common agencies involved are local municipalities, Caltrans, local tribal organizations, U.S. Army Corps of Engineers, Bureau of Land Management, environmental agencies, etc."
100,49,2.
100,50,Surveying and Locating – Stages 3 or 4 Surveying and locating activities will typically take place during Stages 3-4 and determine the right of way (ROW) and pipeline location.
100,51,The ROW is a narrow strip of land (public or private property) that contains the pipeline(s) and is where all onsite construction activities occur.
100,52,"Before any construction activities can begin, survey and locate & mark crews carefully survey and mark out the construction right of way for the existing pipeline and other substructure locations."
100,53,"Since it is critical that the exact pipeline location and substructures are known prior to the start of construction, potholing is also typically completed during Stage 4, but there are times when this activity cannot start until Stage 5 (construction)."
100,54,Potholing involves excavating a small hole over the pipeline to validate the location of an existing substructure.
100,55,"Surveying and locating activities help to determine what will be needed for the temporary construction easements, possible substructure conflicts within the desired replacement location, and other issues that will need to be accounted for in the project design."
100,56,"In Stage 4, the land acquisition team is evaluating nearby locations for a lay-down yard and field construction office which will stage the equipment, material, fabrication space, water for hydrotests, Southern California Gas Company 2019 GRC APP7work trailer, etc."
100,57,for several weeks.
100,58,"Ideally, the yard will be at least 50,000 square feet or about the size of a football field (See Figure 5)."
100,59,"Lastly, during Stages 3 and 4, affected customers are identified and communication materials are generated and sent out which notify customers of the upcoming construction activities in the area."
100,60,This notification takes place earlier enough in the process so as to allow for customer input and changes to construction as needed.
100,61,3.
100,62,Clearing and Grading Construction and Lay-down Yard - beginning Stage 5 At the beginning of Stage 5 (Construction) the clearing/grading activities typically take place for projects in the non-paved locations.
100,63,A few require extensive work due to work being located on hillsides.
100,64,Clearing is the removal of all brush from the construction work area.
100,65,Grading is required to provide a relatively level surface to allow safe operation of the heavy equipment.
100,66,It should be noted before any construction activity takes place an environmental inspection may be required of the laydown yard and the pipeline construction area.
100,67,4.
100,68,Trenching and Excavating – Stage 5 Trenching and excavating activity takes place in Stage 5 (Construction).
100,69,The trenching operation in pavement begins with a saw-cutting crew which cuts the pavement for excavation.
100,70,"Once the pavement is removed from the area, the trenching can begin."
100,71,The trenching crew typically uses a backhoe to dig the replacement pipe trench.
100,72,The trench is excavated to a depth that provides sufficient cover over the pipeline after backfilling.
100,73,"Typically, the trench is about 4 to 6 feet wide in stable soils and at least 5-feet deep (depends on the pipeline’s diameter and DOT Class location to actual depth)."
100,74,This depth allows for the required minimum 36 inches of cover.
100,75,Many pipelines are located at a depth which requires elaborate shoring systems to be installed for construction.
100,76,The shoring is necessary when the excavation is more than 5 feet deep or is in sandy soil conditions (see Figure 6).
100,77,The shoring can limit the work area due to beams and other structures that obstruct the construction process which slows down production (see Figure 1).
100,78,An example of why greater pipeline depth is needed is a railroad crossing or storm drain conflict.
100,79,"Given the work that needs to take place on the existing pipeline, the excavation may require, per code, hand-digging over the gas pipeline to expose the pipe and other potential utility substructures in the area."
100,80,The hand- digging process can be labor and time intensive.
100,81,"For example, if the trench that the pipeline must be installed within is running laterally with another utility structure and the distance is under the legal threshold for mechanical excavation, the entire length must be hand excavated."
100,82,There are also many requirements that have to be met during the excavation process that are governed by the various permits issued for a project.
100,83,"For example, when excavating in traveled roadways, steel plates will be needed to cover the open trench at the end of each day."
100,84,The process of moving the plates on the trench and welding them together at the end of the day and then removing them each morning takes additional time that may decrease productivity depending on the available working hours set by the permitting agency.
100,85,"Some installations require a bore operation when the pipeline needs to go under a structure and an open trench cannot be dug, for example for crossing a freeway/highway, or railroad, or to avoid disrupting traffic across a busy intersection."
100,86,"In this case, there is only an excavation at the start and end Southern California Gas Company 2019 GRC APP8of the bore route; however, these bore pits are typically 30 feet x 15 feet and at a minimum depth of 20 feet (oftentimes greater)."
100,87,This activity requires extensive bell-hole preparation and is a complicated process that necessitates a specialized crew and equipment (see Figures 7 and 8).
100,88,"Often, each replaced pipeline has taps that feed an individual customer or a regulator station which need to be connected to the new pipeline once put into service."
100,89,Each tap location requires an excavation which is on average approximately 5 feet x 8 feet and takes a crew approximately 1 day per hole to excavate depending on the soil conditions (shoring may also be needed).
100,90,Those excavations will be plated and left open until the new pipeline section is tested and gassed up.
100,91,Then these tap connections can be completed and backfilled.
100,92,"Lastly, there are some municipalities that require the existing pipeline to be removed and the new pipeline to be installed in the same location."
100,93,This also might be necessary if the pipeline right of way is not large enough for the replacement pipeline.
100,94,This removal step can greatly add to the complexity and time for the project.
100,95,5.
100,96,"Pipeline Laying, Bending, Welding - Stage 5 The pipe sections, fittings and other pipeline components are laid out on the job site for installation as construction proceeds."
100,97,In order to follow the correct route the pipe’s direction is changed by either bends or welding in segmented ells (see Figure 9).
100,98,In some cases the joints are welded together and placed on temporary supports.
100,99,The pipe crew and a welding crew are responsible for the welding process.
100,100,"The pipe crew typically uses special pipeline equipment called side booms to pick up each joint of pipe, align it with another joint, and make the first part of the weld (a pass called the stringer bead)."
100,101,Additional filler passes are made by welders who immediately follow the stringer bead.
100,102,"There could be different welders for the different welds needed: stringer, hot-pass, and capping welders make up the typical welding crew, and they are often followed by tie-in welders."
100,103,6.
100,104,"Non Destructive Evaluation (NDE) - Stage 5 As part of the quality assurance process, each welder must pass qualification tests (Operator Qualification) to work on a particular pipeline job, and each weld procedure must be approved for use on that job in accordance with federally adopted welding standards."
100,105,"The welds undergo visual and radiographic inspection (a.k.a., X-ray), as outlined in 49 CFR Part 192 by qualified technicians and inspectors."
100,106,The technicians take X-rays of the pipe welds to ensure that the completed welds meet federally prescribed quality standards.
100,107,"The X-ray technician processes the film in a small, portable darkroom at the site."
100,108,"If the technician detects any unacceptable flaws, the weld is repaired or cut out, and a new weld is made as per code requirements."
100,109,7.
100,110,"Lowering Pipe into the Trench - Stage 5 Depending on the length of pipe to replace, lowering the welded pipe into the trench demands close coordination and skilled operators (see Figure 9)."
100,111,"Using a series of side booms (tractor designed to move pipelines into place), operators simultaneously lift and carefully lower the welded pipe sections into the trench."
100,112,The bottom of the trench is shaded with at least 6 inches of sand to protect the pipe and coating from damage.
100,113,"Lastly, cathodic protection test stations may be installed on the pipeline before backfilling."
100,114,Southern California Gas Company 2019 GRC APP98.
100,115,Field Coating - Stage 5 Pipelines are externally coated to prevent moisture from coming into direct contact with the steel and causing corrosion.
100,116,"Typically, coated pipelines are delivered with uncoated areas three to six inches from each end to prevent the coating from interfering with the welding process."
100,117,"Once the welds are completed, a coating crew coats the remaining portion of the pipeline."
100,118,"Prior to this coating application, the coating crew thoroughly cleans the bare pipe with a power wire brush or a sandblast machine to remove any dirt, mill scale, or debris."
100,119,The crew then applies the coating and allows it to dry.
100,120,"Once dry, the coating of the pipeline is inspected to ensure it is free of defects: it is electronically inspected, or “jeeped,” for faults or voids in the epoxy coating and visually inspected for faults, scratches, or other coating defects."
100,121,9.
100,122,"Backfilling and Paving - Stage 5 After all welds have passed NDE, coating is completed and passes inspection, and survey crews record the location of the pipe and various valves/fittings, crews begin the backfilling process."
100,123,"As with previous construction crews, the backfilling crew takes care to protect the pipeline and coating by using a minimum of 12 inches of zero-sack slurry (sand and water mixture) on top of the top pipe."
100,124,Then the remainder of the backfill material is placed over the pipe.
100,125,The final step is paving.
100,126,10.
100,127,"Hydrostatic Testing - Stage 5 Depending on the varying elevation of the terrain along the pipeline and the location of available water sources, the pipeline may be divided into sections to facilitate the test."
100,128,Each section is filled with water and pressured up to DOT requirements and held for a specified period of time to determine if the pipeline meets the design strength requirements and if any leaks are present (see Figures 10 and 11 for hydrotest set ups).
100,129,"Once a section successfully passes the hydrostatic test, water is emptied from the pipeline and the pipeline is dried to ensure that no water is present when natural gas begins to flow."
100,130,The drying out of the pipeline is completed using large compressors and foam tools (pigs).
100,131,A pig launcher and receiver are installed at the ends to facilitate this process.
100,132,The team will continue to pass the pig through the system until the desired dew point is reached as prescribed by engineering.
100,133,"Once achieved, the final tie-ins and commissioning activities can commence."
100,134,"This drying process usually takes 3 days, more or less depending on the length and geometry of the pipeline."
100,135,The used water is tested by environmental services for disposal purposes.
